Timestamp,Sludge Concentration,Turbidity (NTU),Methane (ADC),Voltage (V)
2025-06-12 15:06:45,80.00,926.35,140.33,0.92
2025-06-12 15:06:47,80.00,885.03,143.00,0.90
2025-06-12 15:06:48,80.00,869.68,141.00,0.90
2025-06-12 15:06:50,80.00,978.58,138.33,0.93
2025-06-12 15:06:52,80.00,858.63,140.00,0.90
2025-06-12 15:06:53,80.00,815.29,140.67,0.88
2025-06-12 15:06:55,80.00,638.67,138.33,0.83
2025-06-12 15:06:56,80.00,818.34,137.33,0.88
2025-06-12 15:06:58,80.00,838.58,137.67,0.89
2025-06-12 15:06:59,80.00,684.78,140.67,0.84
2025-06-12 15:07:09,80.00,712.70,137.33,0.85
2025-06-12 15:07:10,80.00,1012.09,140.67,0.95
2025-06-12 15:07:12,80.00,1007.30,139.67,0.95
2025-06-12 15:07:13,80.00,856.43,139.67,0.90
2025-06-12 15:07:15,80.00,867.69,138.67,0.90
2025-06-12 15:07:16,80.00,819.76,150.00,0.88
2025-06-12 15:07:18,80.00,838.51,140.33,0.89
2025-06-12 15:07:20,80.00,1134.31,136.67,0.99
2025-06-12 15:07:21,80.00,828.91,137.67,0.89
2025-06-12 15:07:23,80.00,928.39,139.00,0.92
2025-06-12 15:19:07,60.00,750.19,154.67,0.86
2025-06-12 15:19:08,60.00,812.96,155.00,0.88
2025-06-12 15:19:10,60.00,1106.94,154.67,0.98
2025-06-12 15:19:12,60.00,1068.87,155.00,0.96
2025-06-12 15:19:13,60.00,793.43,153.00,0.88
2025-06-12 15:19:15,60.00,912.87,152.33,0.91
2025-06-12 15:19:16,60.00,907.67,154.00,0.91
2025-06-12 15:19:18,60.00,879.36,154.33,0.90
2025-06-12 15:19:19,60.00,941.17,154.00,0.92
2025-06-12 15:19:21,60.00,959.91,156.33,0.93
2025-06-12 15:19:28,60.00,1149.06,154.33,0.99
2025-06-12 15:19:29,60.00,1012.42,149.00,0.95
2025-06-12 15:19:31,60.00,812.44,151.33,0.88
2025-06-12 15:19:32,60.00,809.29,156.00,0.88
2025-06-12 15:19:34,60.00,789.47,156.67,0.87
2025-06-12 15:19:36,60.00,1016.71,143.00,0.95
2025-06-12 15:19:37,60.00,840.59,154.33,0.89
2025-06-12 15:19:39,60.00,887.48,165.33,0.91
2025-06-12 15:19:40,60.00,944.67,149.33,0.92
2025-06-12 15:19:42,60.00,788.60,161.33,0.87
2025-06-12 15:21:32,60.00,795.59,152.67,0.88
2025-06-12 15:21:34,60.00,1056.11,151.67,0.96
2025-06-12 15:21:35,60.00,1003.29,153.00,0.94
2025-06-12 15:21:37,60.00,980.53,155.00,0.94
2025-06-12 15:21:38,60.00,837.21,156.00,0.89
2025-06-12 15:21:40,60.00,1023.69,153.67,0.95
2025-06-12 15:21:41,60.00,870.65,156.67,0.90
2025-06-12 15:21:43,60.00,1026.08,157.33,0.95
2025-06-12 15:21:45,60.00,830.75,154.33,0.89
2025-06-12 15:21:46,60.00,846.89,156.33,0.89
2025-06-12 16:11:21,50.00,2429.89,147.67,1.55
2025-06-12 16:11:23,50.00,2321.70,149.33,1.49
2025-06-12 16:11:24,50.00,2140.45,149.00,1.40
2025-06-12 16:11:26,50.00,2344.13,147.67,1.50
2025-06-12 16:11:28,50.00,2348.15,149.33,1.51
2025-06-12 16:11:29,50.00,2358.97,154.67,1.51
2025-06-12 16:11:31,50.00,2277.94,148.67,1.47
2025-06-12 16:11:32,50.00,2366.65,147.33,1.52
2025-06-12 16:11:34,50.00,2393.56,150.00,1.53
2025-06-12 16:11:35,50.00,2270.75,150.00,1.46
2025-06-12 16:11:44,50.00,2383.11,147.00,1.52
2025-06-12 16:11:46,50.00,2261.63,148.00,1.46
2025-06-12 16:11:47,50.00,2382.72,151.00,1.53
2025-06-12 16:11:49,50.00,2142.39,147.33,1.40
2025-06-12 16:11:50,50.00,2407.93,151.00,1.54
2025-06-12 16:11:52,50.00,2420.25,150.67,1.55
2025-06-12 16:11:54,50.00,2375.79,149.67,1.53
2025-06-12 16:11:55,50.00,2285.32,151.33,1.47
2025-06-12 16:11:57,50.00,2215.98,145.67,1.44
2025-06-12 16:11:58,50.00,2160.74,148.33,1.41
2025-06-12 16:29:12,30.00,2758.48,129.00,1.81
2025-06-12 16:29:13,30.00,2777.31,128.00,1.81
2025-06-12 16:29:15,30.00,2664.37,126.33,1.72
2025-06-12 16:29:16,30.00,2814.87,129.33,1.85
2025-06-12 16:29:18,30.00,2847.86,126.67,1.88
2025-06-12 16:29:20,30.00,2662.56,131.33,1.73
2025-06-12 16:29:21,30.00,2809.28,127.00,1.84
2025-06-12 16:29:23,30.00,2781.19,129.33,1.81
2025-06-12 16:29:24,30.00,2741.89,129.00,1.78
2025-06-12 16:29:26,30.00,2801.17,129.00,1.83
2025-06-12 16:29:33,30.00,2745.93,128.33,1.79
2025-06-12 16:29:35,30.00,2688.31,128.00,1.73
2025-06-12 16:29:36,30.00,2550.75,128.00,1.64
2025-06-12 16:29:38,30.00,2772.50,124.00,1.80
2025-06-12 16:29:39,30.00,2704.39,130.33,1.75
2025-06-12 16:29:41,30.00,2841.47,129.33,1.88
2025-06-12 16:29:42,30.00,2822.13,130.00,1.85
2025-06-12 16:29:44,30.00,2768.63,128.67,1.80
2025-06-12 16:29:46,30.00,2652.40,121.00,1.71
2025-06-12 16:29:47,30.00,2834.56,129.67,1.87
2025-06-12 16:45:40,20.00,2841.86,123.00,2.71
2025-06-12 16:45:41,20.00,2935.00,124.33,2.57
2025-06-12 16:45:43,20.00,2930.69,127.33,2.60
2025-06-12 16:45:44,20.00,2915.35,122.33,2.60
2025-06-12 16:45:46,20.00,2900.65,124.33,2.63
2025-06-12 16:45:48,20.00,2917.01,125.33,2.60
2025-06-12 16:45:49,20.00,2891.13,125.00,2.65
2025-06-12 16:45:51,20.00,2941.24,124.67,2.46
2025-06-12 16:45:52,20.00,2953.65,125.00,2.55
2025-06-12 16:45:54,20.00,2823.54,125.67,2.69
2025-06-12 16:46:09,20.00,2846.70,125.00,2.69
2025-06-12 16:46:11,20.00,2974.94,123.33,2.48
2025-06-12 16:46:13,20.00,2943.49,122.67,2.58
2025-06-12 16:46:14,20.00,2919.53,125.33,2.60
2025-06-12 16:46:16,20.00,2926.43,121.67,2.61
2025-06-12 16:46:17,20.00,2993.96,126.33,2.48
2025-06-12 16:46:19,20.00,2912.16,123.67,2.62
2025-06-12 16:46:20,20.00,2897.87,127.33,2.64
2025-06-12 16:46:22,20.00,2857.91,123.67,2.69
2025-06-12 16:46:24,20.00,2985.15,125.00,2.51
2025-06-12 16:56:38,40.00,2184.66,638.33,3.17
2025-06-12 16:56:40,40.00,2192.22,635.67,3.16
2025-06-12 16:56:41,40.00,2191.23,638.33,3.16
2025-06-12 16:56:43,40.00,2194.00,642.33,3.16
2025-06-12 16:56:44,40.00,2189.23,641.67,3.16
2025-06-12 16:56:46,40.00,2185.45,645.33,3.17
2025-06-12 16:56:48,40.00,2199.73,648.67,3.16
2025-06-12 16:56:49,40.00,2186.44,651.00,3.16
2025-06-12 16:56:51,40.00,2184.46,651.00,3.17
2025-06-12 16:57:45,40.00,2701.79,124.67,1.74
2025-06-12 16:57:47,40.00,2604.32,127.00,1.67
2025-06-12 16:57:48,40.00,2619.59,125.00,1.69
2025-06-12 16:57:50,40.00,2629.91,128.67,1.69
2025-06-12 16:57:52,40.00,2789.86,129.00,1.82
2025-06-12 16:57:53,40.00,2794.59,129.67,1.83
2025-06-12 16:57:55,40.00,2680.09,129.67,1.73
2025-06-12 16:57:56,40.00,2753.77,128.00,1.78
2025-06-12 16:57:58,40.00,2711.75,129.00,1.75
2025-06-12 16:57:59,40.00,2743.61,127.00,1.78
2025-06-12 16:58:07,40.00,2691.51,128.00,1.73
2025-06-12 16:58:08,40.00,2706.80,129.33,1.75
2025-06-12 16:58:10,40.00,2793.28,128.00,1.82
2025-06-12 16:58:11,40.00,2758.57,128.33,1.79
2025-06-12 16:58:13,40.00,2631.43,130.00,1.72
2025-06-12 16:58:15,40.00,2640.00,127.00,1.71
2025-06-12 16:58:16,40.00,2741.64,128.33,1.78
2025-06-12 16:58:18,40.00,2723.57,127.00,1.77
2025-06-12 16:58:19,40.00,2715.17,127.33,1.76
2025-06-12 16:58:21,40.00,2804.08,126.33,1.83
2025-06-12 17:07:06,10.00,2541.31,129.33,2.90
2025-06-12 17:07:08,10.00,2310.37,130.33,3.09
2025-06-12 17:07:09,10.00,2298.48,120.33,3.10
2025-06-12 17:07:11,10.00,2264.63,130.33,3.12
2025-06-12 17:07:13,10.00,2467.73,131.00,3.00
2025-06-12 17:07:14,10.00,2373.85,127.67,3.06
2025-06-12 17:07:16,10.00,2412.08,127.33,3.04
2025-06-12 17:07:17,10.00,2421.11,126.33,3.03
2025-06-12 17:07:19,10.00,2542.43,123.33,2.93
2025-06-12 17:07:20,10.00,2380.20,126.67,3.03
2025-06-12 17:07:28,10.00,2293.33,125.33,3.09
2025-06-12 17:07:30,10.00,2659.30,125.00,2.87
2025-06-12 17:07:31,10.00,2547.17,118.33,2.93
2025-06-12 17:07:33,10.00,2436.48,128.33,3.02
2025-06-12 17:07:34,10.00,2350.79,126.00,3.06
2025-06-12 17:07:36,10.00,2255.42,132.33,3.13
2025-06-12 17:07:38,10.00,2481.47,127.33,2.99
2025-06-12 17:07:39,10.00,2456.96,127.67,3.01
2025-06-12 17:07:41,10.00,2434.73,128.67,2.99
2025-06-12 17:07:42,10.00,2595.05,128.00,2.89
2025-06-12 17:17:24,0.00,299.04,120.33,3.86
2025-06-12 17:17:26,0.00,285.10,122.67,3.86
2025-06-12 17:17:27,0.00,310.77,119.00,3.85
2025-06-12 17:17:29,0.00,302.96,119.67,3.85
2025-06-12 17:17:30,0.00,307.24,119.33,3.85
2025-06-12 17:17:32,0.00,312.93,119.00,3.85
2025-06-12 17:17:33,0.00,323.24,119.33,3.85
2025-06-12 17:17:35,0.00,320.75,119.33,3.85
2025-06-12 17:17:36,0.00,321.47,121.33,3.85
2025-06-12 17:17:38,0.00,349.05,121.00,3.84
2025-06-12 17:17:45,0.00,346.63,119.00,3.84
2025-06-12 17:17:47,0.00,348.04,122.67,3.84
2025-06-12 17:17:48,0.00,346.63,120.33,3.84
2025-06-12 17:17:50,0.00,350.51,119.67,3.84
2025-06-12 17:17:52,0.00,349.81,117.67,3.84
2025-06-12 17:17:53,0.00,355.45,122.33,3.84
2025-06-12 17:17:55,0.00,355.46,123.67,3.84
2025-06-12 17:17:56,0.00,364.28,119.33,3.84
2025-06-12 17:17:58,0.00,361.81,121.00,3.84
2025-06-12 17:17:59,0.00,366.74,121.33,3.84
